Engine HP,Year,Engine Cylinders,Market Category,city mpg,Popularity,highway MPG,Vehicle Style,MSRP
275.0,2005,6.0,9,13,549,18,3,29695
170.0,2016,4.0,9,25,873,38,12,30495
248.0,2016,6.0,9,19,2202,28,9,37650
138.0,2015,4.0,9,25,1385,36,12,16170
162.0,1991,4.0,19,17,870,20,12,2000
152.0,2012,4.0,9,19,481,23,8,19299
365.0,2016,6.0,0,15,5657,21,13,42600
230.0,1994,6.0,19,16,204,24,6,2384
205.0,1995,6.0,9,17,26,26,12,2000
155.0,2015,4.0,9,30,586,41,12,17995
106.0,2015,4.0,12,30,2031,37,0,14845
150.0,1998,6.0,9,15,586,20,11,2930
134.0,1995,4.0,9,16,2009,19,11,2130
274.0,2007,4.0,8,17,586,23,12,27995
264.0,2008,6.0,9,17,1720,24,12,25495
200.0,2009,4.0,20,21,873,31,12,24770
253.0,2008,6.0,0,14,1013,22,13,27225
270.0,2016,6.0,20,22,2009,32,12,32690
210.0,2005,4.0,13,20,204,28,0,23670
306.0,2017,6.0,19,19,454,28,6,43010
107.0,2009,4.0,12,27,1385,34,2,14100
162.0,1991,4.0,19,17,870,20,13,2000
310.0,2015,6.0,19,18,3105,28,12,65900
168.0,2017,4.0,0,21,5657,29,3,23600
160.0,2017,4.0,9,26,5657,36,12,16775
620.0,2011,12.0,5,10,67,16,12,463000
280.0,2017,6.0,9,18,2202,25,7,37730
225.0,2012,8.0,9,13,5657,17,4,27840
200.0,1993,4.0,20,18,2031,25,6,2078
284.0,2017,6.0,0,20,2009,27,3,36100
225.0,2014,8.0,9,13,5657,16,10,30230
305.0,2014,4.0,7,17,640,23,12,37845
184.0,2016,4.0,0,24,586,30,3,26515
280.0,2013,6.0,17,20,204,29,12,35905
219.0,2009,6.0,9,17,210,26,6,24610
302.0,2016,6.0,19,20,617,29,12,53100
203.0,2001,6.0,9,16,5657,20,1,21035
231.0,2016,4.0,17,22,61,31,12,37080
270.0,2014,6.0,17,18,1624,26,13,44095
240.0,2009,6.0,0,18,586,26,3,23055
138.0,2016,4.0,12,27,1720,37,2,17905
200.0,2013,4.0,15,24,873,33,0,31495
285.0,2015,6.0,9,18,1385,24,11,26105
241.0,2016,4.0,2,22,617,28,3,38950
98.0,2013,4.0,14,41,2202,44,2,18600
207.0,2009,6.0,9,15,5657,19,8,22305
138.0,2016,4.0,0,25,155,33,3,29785
526.0,2015,8.0,7,14,5657,21,6,61295
240.0,2016,6.0,3,24,3105,31,3,55600
164.0,2017,4.0,12,25,1720,34,2,21990
240.0,2015,4.0,17,23,3916,34,5,48750
300.0,2016,6.0,9,18,1385,30,12,25830
200.0,2005,6.0,9,16,155,23,9,28110
184.0,2016,4.0,9,23,1013,36,12,21995
204.0,2005,6.0,9,16,5657,21,9,29030
563.0,2014,12.0,6,13,86,21,12,303300
200.0,1997,6.0,9,15,1385,20,11,2265
240.0,2017,4.0,2,23,870,30,3,40950
118.0,1996,4.0,12,23,5657,30,0,2000
188.0,2016,4.0,1,26,2009,31,2,26940
184.0,2016,4.0,15,26,586,35,2,25445
355.0,2016,8.0,11,16,549,22,3,60000
190.0,2003,6.0,9,12,1385,17,8,23985
304.0,2016,6.0,9,18,155,28,12,31065
200.0,2004,6.0,20,18,1851,25,6,23520
311.0,2016,6.0,19,18,1439,29,12,38750
204.0,2015,0.0,12,126,2009,101,2,35120
265.0,2013,4.0,20,19,640,25,12,28295
300.0,2017,6.0,19,20,190,29,12,44650
138.0,2015,4.0,9,27,1720,37,12,18090
182.0,2015,4.0,10,25,155,36,12,33635
175.0,2002,6.0,9,13,1851,15,4,21430
178.0,2016,4.0,9,25,2031,35,12,23070
160.0,1995,6.0,9,17,26,26,13,2000
193.0,2016,4.0,16,39,1439,43,12,30100
232.0,2005,6.0,19,17,61,24,12,36990
204.0,2014,6.0,12,126,436,99,2,22995
204.0,2013,0.0,12,132,2202,105,2,36625
230.0,1993,8.0,9,11,1851,15,1,2000
164.0,1995,6.0,15,18,5657,24,0,2000
315.0,2016,6.0,18,20,1715,28,5,63900
239.0,2010,5.0,17,14,130,18,3,38365
122.0,2000,4.0,9,24,481,32,12,2000
195.0,2016,4.0,9,22,1385,31,12,27095
210.0,2009,6.0,9,15,1851,20,8,22560
385.0,2017,8.0,9,15,5657,21,8,35870
138.0,2015,4.0,9,27,1385,37,12,19680
172.0,1992,6.0,17,16,3105,20,13,2000
135.0,2003,4.0,9,21,586,26,11,13930
300.0,2006,8.0,9,13,549,16,7,36525
325.0,2015,6.0,18,19,870,28,13,45150
176.0,2016,4.0,0,24,2031,31,3,24350
225.0,1995,6.0,9,17,26,26,12,2000
140.0,2014,4.0,4,29,873,39,13,27665
272.0,2015,4.0,19,19,1624,28,12,57670
152.0,2011,4.0,9,17,481,22,8,22479
162.0,2011,4.0,9,20,436,27,5,27999
155.0,2010,4.0,9,22,1385,32,13,19030
140.0,2012,4.0,4,29,873,39,13,26640
156.0,1990,6.0,17,17,454,24,12,2000
